Informazioni cronologiche,Language/Lingua:,What gender do you identify with?,How old are you?,Where are you from?,Did you continue your studies after high school?,Sesso:,Età:,Continente di provenienza:,Hai continuato gli studi dopo le scuole superiori?,What is your educational background?,In che campo hai studiato?,Are you employed?,Do you spend a lot of time outdoor?,Hai un lavoro?,Passi molto tempo all'aria aperta?,"Assuming you are interested in the product, which is the maximum amount of money you would pay for it? (€)","Assumendo ti interessi il prodotto, qual è la cifra massima che spenderesti per acquistarlo? (€)"
16/03/2019 4.55.33,Italiano,,,,,Maschio,20,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",Sì,,"Umanistico (Lingue, Legge, Letteratura, ...)",,,No,No,,100
16/03/2019 4.57.39,Italiano,,,,,Maschio,20,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",Sì,,"Scientifico (Ingegneria, Matematica, Medicina...)",,,No,Sì,,150
16/03/2019 5.17.12,Italiano,,,,,Femmina,22,"Europa Occidentale (Austria, Belgio, Francia, Germania, Paesi Bassi, Svizzera, ...)",Sì,,"Umanistico (Lingue, Legge, Letteratura, ...)",,,No,Sì,,90
16/03/2019 5.27.40,Italiano,,,,,Femmina,20,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",Sì,,"Umanistico (Lingue, Legge, Letteratura, ...)",,,No,No,,100
16/03/2019 5.27.51,English,Female,27,Asia,Yes,,,,,"Scientific (Engineering, Maths, Medicine...)",,No,No,,,100,
16/03/2019 5.28.44,Italiano,,,,,Maschio,23,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",Sì,,"Scientifico (Ingegneria, Matematica, Medicina...)",,,No,No,,10
16/03/2019 5.34.53,Italiano,,,,,Maschio,21,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",Sì,,"Artistico (Arti, Design, Architettura, ...)",,,No,No,,300
16/03/2019 5.36.18,Italiano,,,,,Maschio,29,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",No,,,,,Sì,No,,250
16/03/2019 5.40.32,Italiano,,,,,Femmina,20,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",Sì,,"Artistico (Arti, Design, Architettura, ...)",,,No,No,,150
16/03/2019 5.51.20,Italiano,,,,,Femmina,52,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",No,,,,,No,No,,100
16/03/2019 5.53.50,Italiano,,,,,Femmina,25,"Europa Orientale (Repubblica Ceca, Estonia, Ungheria, Lettonia, Lituania, Russia, ... )",Sì,,"Umanistico (Lingue, Legge, Letteratura, ...)",,,Sì,Sì,,50
16/03/2019 5.54.00,Italiano,,,,,Femmina,20,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",Sì,,"Umanistico (Lingue, Legge, Letteratura, ...)",,,Sì,Sì,,200
16/03/2019 5.55.49,Italiano,,,,,Femmina,21,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",Sì,,"Umanistico (Lingue, Legge, Letteratura, ...)",,,No,Sì,,100
16/03/2019 5.56.32,Italiano,,,,,Femmina,20,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",Sì,,"Umanistico (Lingue, Legge, Letteratura, ...)",,,No,Sì,,150
16/03/2019 5.56.49,Italiano,,,,,Femmina,21,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",Sì,,"Artistico (Arti, Design, Architettura, ...)",,,No,Sì,,80
16/03/2019 5.57.17,Italiano,,,,,Femmina,21,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",Sì,,"Umanistico (Lingue, Legge, Letteratura, ...)",,,No,Sì,,150
16/03/2019 5.57.44,Italiano,,,,,Femmina,21,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",Sì,,"Scientifico (Ingegneria, Matematica, Medicina...)",,,No,No,,50
16/03/2019 5.57.48,Italiano,,,,,Femmina,20,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",Sì,,"Umanistico (Lingue, Legge, Letteratura, ...)",,,No,Sì,,100
16/03/2019 5.58.17,English,Female,20,"Southern Europe (Greece, Italy, Portugal, Spain, ...)",Yes,,,,,"Humanistic (Languages, Law, Literature, ...)",,Yes,Yes,,,150,
16/03/2019 5.58.23,Italiano,,,,,Femmina,20,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",Sì,,"Umanistico (Lingue, Legge, Letteratura, ...)",,,Sì,No,,120
16/03/2019 5.59.15,Italiano,,,,,Femmina,20,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",Sì,,"Umanistico (Lingue, Legge, Letteratura, ...)",,,No,No,,60
16/03/2019 5.59.33,Italiano,,,,,Femmina,21,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",No,,,,,No,Sì,,100
16/03/2019 6.00.35,Italiano,,,,,Femmina,20,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",Sì,,"Umanistico (Lingue, Legge, Letteratura, ...)",,,No,No,,75
16/03/2019 6.02.14,Italiano,,,,,Femmina,20,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",Sì,,"Umanistico (Lingue, Legge, Letteratura, ...)",,,Sì,Sì,,120
16/03/2019 6.02.48,Italiano,,,,,Femmina,24,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",Sì,,"Scientifico (Ingegneria, Matematica, Medicina...)",,,Sì,Sì,,175
16/03/2019 6.03.26,Italiano,,,,,Femmina,21,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",Sì,,"Scientifico (Ingegneria, Matematica, Medicina...)",,,No,No,,80
16/03/2019 6.04.54,Italiano,,,,,Femmina,21,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",Sì,,"Umanistico (Lingue, Legge, Letteratura, ...)",,,No,No,,80
16/03/2019 6.05.57,Italiano,,,,,Femmina,23,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",Sì,,"Scientifico (Ingegneria, Matematica, Medicina...)",,,No,No,,80
16/03/2019 6.06.21,Italiano,,,,,Maschio,21,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",Sì,,"Umanistico (Lingue, Legge, Letteratura, ...)",,,No,Sì,,200
16/03/2019 6.06.32,Italiano,,,,,Maschio,21,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",Sì,,"Scientifico (Ingegneria, Matematica, Medicina...)",,,No,Sì,,200
16/03/2019 6.09.26,Italiano,,,,,Femmina,20,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",Sì,,"Umanistico (Lingue, Legge, Letteratura, ...)",,,No,No,,400
16/03/2019 6.10.39,Italiano,,,,,Femmina,39,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",Sì,,"Scientifico (Ingegneria, Matematica, Medicina...)",,,Sì,No,,200
16/03/2019 6.12.36,Italiano,,,,,Femmina,21,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",Sì,,"Umanistico (Lingue, Legge, Letteratura, ...)",,,No,No,,80
16/03/2019 6.13.10,Italiano,,,,,Femmina,20,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",Sì,,"Umanistico (Lingue, Legge, Letteratura, ...)",,,No,No,,200
16/03/2019 6.13.21,Italiano,,,,,Maschio,35,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",Sì,,"Scientifico (Ingegneria, Matematica, Medicina...)",,,Sì,No,,300
16/03/2019 6.18.25,Italiano,,,,,Femmina,20,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",Sì,,"Umanistico (Lingue, Legge, Letteratura, ...)",,,Sì,No,,160
16/03/2019 6.18.29,Italiano,,,,,Femmina,20,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",Sì,,"Umanistico (Lingue, Legge, Letteratura, ...)",,,Sì,Sì,,80
16/03/2019 6.20.11,Italiano,,,,,Femmina,21,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",Sì,,"Umanistico (Lingue, Legge, Letteratura, ...)",,,No,No,,120
16/03/2019 6.21.38,Italiano,,,,,Maschio,24,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",Sì,,"Scientifico (Ingegneria, Matematica, Medicina...)",,,No,No,,180
16/03/2019 6.21.41,Italiano,,,,,Femmina,20,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",Sì,,"Umanistico (Lingue, Legge, Letteratura, ...)",,,No,No,,50
16/03/2019 6.24.42,Italiano,,,,,Femmina,23,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",Sì,,"Artistico (Arti, Design, Architettura, ...)",,,No,No,,120
16/03/2019 6.33.12,Italiano,,,,,Femmina,54,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",Sì,,"Umanistico (Lingue, Legge, Letteratura, ...)",,,Sì,No,,150
16/03/2019 6.34.50,Italiano,,,,,Femmina,21,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",Sì,,"Umanistico (Lingue, Legge, Letteratura, ...)",,,Sì,Sì,,170
16/03/2019 6.35.42,Italiano,,,,,Femmina,20,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",Sì,,"Scientifico (Ingegneria, Matematica, Medicina...)",,,No,No,,70
16/03/2019 6.38.07,Italiano,,,,,Femmina,21,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",Sì,,"Umanistico (Lingue, Legge, Letteratura, ...)",,,No,Sì,,50
16/03/2019 7.00.28,Italiano,,,,,Femmina,21,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",Sì,,"Scientifico (Ingegneria, Matematica, Medicina...)",,,No,No,,250
16/03/2019 7.01.02,Italiano,,,,,Maschio,24,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",Sì,,"Artistico (Arti, Design, Architettura, ...)",,,No,Sì,,100
16/03/2019 7.05.27,Italiano,,,,,Femmina,18,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",No,,,,,No,No,,150
16/03/2019 7.07.55,Italiano,,,,,Femmina,15,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",No,,,,,No,No,,200
16/03/2019 7.07.58,Italiano,,,,,Femmina,17,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",Sì,,"Umanistico (Lingue, Legge, Letteratura, ...)",,,No,No,,50
16/03/2019 7.12.44,Italiano,,,,,Femmina,25,"Europa Orientale (Repubblica Ceca, Estonia, Ungheria, Lettonia, Lituania, Russia, ... )",Sì,,"Artistico (Arti, Design, Architettura, ...)",,,Sì,No,,150
16/03/2019 7.12.57,Italiano,,,,,Femmina,21,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",No,,,,,Sì,No,,120
16/03/2019 7.13.44,Italiano,,,,,Maschio,22,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",Sì,,"Artistico (Arti, Design, Architettura, ...)",,,Sì,No,,60
16/03/2019 7.13.50,Italiano,,,,,Femmina,21,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",Sì,,"Umanistico (Lingue, Legge, Letteratura, ...)",,,No,Sì,,90
16/03/2019 7.18.26,Italiano,,,,,Maschio,22,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",Sì,,"Scientifico (Ingegneria, Matematica, Medicina...)",,,No,Sì,,200
16/03/2019 7.20.27,Italiano,,,,,Femmina,21,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",Sì,,"Umanistico (Lingue, Legge, Letteratura, ...)",,,Sì,Sì,,300
16/03/2019 7.20.34,Italiano,,,,,Femmina,25,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",Sì,,"Umanistico (Lingue, Legge, Letteratura, ...)",,,No,Sì,,150
16/03/2019 7.23.04,Italiano,,,,,Femmina,21,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",No,,,,,Sì,Sì,,200
16/03/2019 7.25.09,Italiano,,,,,Femmina,42,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",No,,,,,Sì,No,,60
16/03/2019 7.28.04,Italiano,,,,,Femmina,24,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",Sì,,"Umanistico (Lingue, Legge, Letteratura, ...)",,,No,No,,200
16/03/2019 7.28.26,Italiano,,,,,Maschio,27,"Europa Orientale (Repubblica Ceca, Estonia, Ungheria, Lettonia, Lituania, Russia, ... )",No,,,,,Sì,Sì,,20
16/03/2019 7.29.17,Italiano,,,,,Femmina,21,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",Sì,,"Umanistico (Lingue, Legge, Letteratura, ...)",,,Sì,Sì,,120
16/03/2019 7.30.15,Italiano,,,,,Maschio,27,"Europa Orientale (Repubblica Ceca, Estonia, Ungheria, Lettonia, Lituania, Russia, ... )",No,,,,,Sì,Sì,,20
16/03/2019 7.33.37,Italiano,,,,,Femmina,21,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",Sì,,"Umanistico (Lingue, Legge, Letteratura, ...)",,,Sì,Sì,,300
16/03/2019 7.34.31,Italiano,,,,,Femmina,21,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",Sì,,"Artistico (Arti, Design, Architettura, ...)",,,No,Sì,,100
16/03/2019 7.35.01,Italiano,,,,,Femmina,47,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",Sì,,"Scientifico (Ingegneria, Matematica, Medicina...)",,,No,Sì,,100
16/03/2019 7.36.08,Italiano,,,,,Maschio,22,"Europa Orientale (Repubblica Ceca, Estonia, Ungheria, Lettonia, Lituania, Russia, ... )",Sì,,"Artistico (Arti, Design, Architettura, ...)",,,Sì,Sì,,2
16/03/2019 7.41.40,Italiano,,,,,Femmina,20,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",Sì,,"Umanistico (Lingue, Legge, Letteratura, ...)",,,No,Sì,,150
16/03/2019 7.42.05,Italiano,,,,,Maschio,21,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",Sì,,"Artistico (Arti, Design, Architettura, ...)",,,Sì,Sì,,100
16/03/2019 7.44.05,Italiano,,,,,Maschio,21,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",Sì,,"Scientifico (Ingegneria, Matematica, Medicina...)",,,Sì,No,,150
16/03/2019 7.48.47,Italiano,,,,,Femmina,23,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",Sì,,"Artistico (Arti, Design, Architettura, ...)",,,Sì,No,,75
16/03/2019 7.51.58,Italiano,,,,,Maschio,22,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",Sì,,"Umanistico (Lingue, Legge, Letteratura, ...)",,,Sì,Sì,,150
16/03/2019 8.02.38,Italiano,,,,,Femmina,27,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",No,,,,,No,Sì,,15
16/03/2019 8.03.03,Italiano,,,,,Femmina,21,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",Sì,,"Scientifico (Ingegneria, Matematica, Medicina...)",,,No,No,,120
16/03/2019 8.11.18,Italiano,,,,,Maschio,37,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",Sì,,"Scientifico (Ingegneria, Matematica, Medicina...)",,,Sì,No,,200
16/03/2019 8.12.00,Italiano,,,,,Maschio,23,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",Sì,,"Scientifico (Ingegneria, Matematica, Medicina...)",,,No,No,,250
16/03/2019 8.14.45,Italiano,,,,,Femmina,51,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",No,,,,,Sì,No,,50
16/03/2019 8.17.54,Italiano,,,,,Femmina,19,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",Sì,,"Scientifico (Ingegneria, Matematica, Medicina...)",,,Sì,Sì,,100
16/03/2019 9.20.51,Italiano,,,,,Femmina,22,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",No,,,,,Sì,No,,20
16/03/2019 10.28.08,Italiano,,,,,Maschio,25,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",Sì,,"Scientifico (Ingegneria, Matematica, Medicina...)",,,No,No,,150
16/03/2019 10.44.53,Italiano,,,,,Maschio,22,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",Sì,,"Scientifico (Ingegneria, Matematica, Medicina...)",,,Sì,Sì,,50
16/03/2019 10.53.42,Italiano,,,,,Maschio,58,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",No,,,,,Sì,No,,100
16/03/2019 11.02.42,Italiano,,,,,Maschio,23,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",Sì,,"Scientifico (Ingegneria, Matematica, Medicina...)",,,No,No,,70
16/03/2019 11.16.10,Italiano,,,,,Maschio,23,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",Sì,,"Umanistico (Lingue, Legge, Letteratura, ...)",,,Sì,No,,150
16/03/2019 11.32.25,Italiano,,,,,Maschio,21,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",Sì,,"Umanistico (Lingue, Legge, Letteratura, ...)",,,Sì,Sì,,50
16/03/2019 11.47.19,Italiano,,,,,Femmina,52,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",Sì,,"Artistico (Arti, Design, Architettura, ...)",,,Sì,No,,150
16/03/2019 11.58.58,Italiano,,,,,Maschio,23,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",Sì,,"Scientifico (Ingegneria, Matematica, Medicina...)",,,No,No,,40
16/03/2019 12.04.03,Italiano,,,,,Femmina,23,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",Sì,,"Umanistico (Lingue, Legge, Letteratura, ...)",,,No,No,,70
